r_mm,mirror_before_um,mirror_after_um
0.988,271.19999999999993,274.3999999999999
0.99,271.19999999999993,274.3999999999999
0.992,271.19999999999993,274.3999999999999
0.994,271.19999999999993,274.3999999999999
0.996,271.19999999999993,274.3999999999999
0.998,271.19999999999993,274.3999999999999
1.0,271.19999999999993,274.3999999999999
1.002,271.19999999999993,274.3999999999999
1.004,271.19999999999993,274.3999999999999
1.006,271.19999999999993,274.3999999999999
1.008,271.19999999999993,274.3999999999999
1.01,271.19999999999993,274.3999999999999
1.012,271.19999999999993,274.3999999999999
1.014,271.19999999999993,274.3999999999999
1.016,271.19999999999993,274.3999999999999
1.018,271.19999999999993,274.3999999999999
1.02,271.19999999999993,274.3999999999999
1.022,271.19999999999993,274.3999999999999
1.024,271.19999999999993,274.3999999999999
1.026,271.19999999999993,274.3999999999999
1.028,271.19999999999993,274.3999999999999
1.03,271.19999999999993,274.3999999999999
1.032,271.19999999999993,274.3999999999999
1.034,271.19999999999993,274.3999999999999
1.036,271.19999999999993,274.3999999999999
1.038,271.19999999999993,274.3999999999999
1.04,271.19999999999993,274.3999999999999
1.042,271.19999999999993,274.3999999999999
1.044,271.19999999999993,274.3999999999999
1.046,271.19999999999993,274.3999999999999
1.048,271.19999999999993,274.3999999999999
1.05,271.19999999999993,274.3999999999999
1.052,271.19999999999993,274.3999999999999
1.054,271.19999999999993,274.3999999999999
1.056,271.19999999999993,274.3999999999999
1.058,271.19999999999993,274.3999999999999
1.06,271.19999999999993,274.3999999999999
1.062,271.19999999999993,274.3999999999999
1.064,271.19999999999993,274.3999999999999
1.066,271.19999999999993,274.3999999999999
1.068,271.19999999999993,274.3999999999999
1.07,271.19999999999993,274.3999999999999
1.072,271.19999999999993,274.3999999999999
1.074,271.19999999999993,274.3999999999999
1.076,271.19999999999993,274.3999999999999
1.078,271.19999999999993,274.3999999999999
1.08,271.19999999999993,274.3999999999999
1.082,271.19999999999993,274.3999999999999
1.084,271.19999999999993,274.3999999999999
1.086,271.19999999999993,274.3999999999999
1.088,271.19999999999993,274.3999999999999
1.09,271.19999999999993,274.3999999999999
1.092,271.19999999999993,274.3999999999999
1.094,271.19999999999993,274.3999999999999
1.096,271.19999999999993,274.3999999999999
1.098,271.19999999999993,274.3999999999999
1.1,271.19999999999993,274.3999999999999
1.102,271.19999999999993,274.3999999999999
1.104,271.19999999999993,274.3999999999999
1.106,271.19999999999993,274.3999999999999
1.108,271.19999999999993,274.3999999999999
1.11,271.19999999999993,274.3999999999999
1.112,271.19999999999993,274.3999999999999
1.114,271.19999999999993,274.3999999999999
1.116,271.19999999999993,274.3999999999999
1.118,271.19999999999993,274.3999999999999
1.12,271.19999999999993,274.3999999999999
1.122,271.19999999999993,274.3999999999999
1.124,271.19999999999993,274.3999999999999
1.1260000000000001,271.19999999999993,274.3999999999999
1.1280000000000001,271.19999999999993,274.3999999999999
1.1300000000000001,271.19999999999993,274.3999999999999
1.1320000000000001,271.19999999999993,274.3999999999999
1.1340000000000001,271.19999999999993,274.3999999999999
1.1360000000000001,271.19999999999993,274.3999999999999
1.1380000000000001,271.19999999999993,274.3999999999999
1.1400000000000001,271.19999999999993,274.3999999999999
1.1420000000000001,271.19999999999993,274.3999999999999
1.1440000000000001,271.19999999999993,274.3999999999999
1.1460000000000001,271.19999999999993,274.3999999999999
1.1480000000000001,271.19999999999993,274.3999999999999
1.1500000000000001,271.19999999999993,274.3999999999999
1.1520000000000001,271.19999999999993,274.3999999999999
1.154,271.19999999999993,274.3999999999999
1.156,271.19999999999993,274.3999999999999
1.158,271.19999999999993,274.3999999999999
1.16,271.19999999999993,274.3999999999999
1.162,271.19999999999993,274.3999999999999
1.164,271.19999999999993,274.3999999999999
1.166,271.19999999999993,274.3999999999999
1.168,271.19999999999993,274.3999999999999
1.17,271.19999999999993,274.3999999999999
1.172,271.19999999999993,274.3999999999999
1.174,271.19999999999993,274.3999999999999
1.176,271.19999999999993,274.3999999999999
1.178,271.19999999999993,274.3999999999999
1.18,271.19999999999993,274.3999999999999
1.182,271.19999999999993,274.3999999999999
1.184,271.19999999999993,274.3999999999999
1.186,271.19999999999993,274.3999999999999
1.188,271.19999999999993,274.3999999999999
1.19,271.19999999999993,274.3999999999999
1.192,271.19999999999993,274.3999999999999
1.194,271.19999999999993,274.3999999999999
1.196,271.19999999999993,274.3999999999999
1.198,271.19999999999993,274.3999999999999
1.2,271.19999999999993,274.3999999999999
1.202,271.19999999999993,274.3999999999999
1.204,271.19999999999993,274.3999999999999
1.206,271.19999999999993,274.3999999999999
1.208,271.19999999999993,274.3999999999999
1.21,271.19999999999993,274.3999999999999
1.212,271.19999999999993,274.3999999999999
1.214,271.19999999999993,274.3999999999999
1.216,271.19999999999993,274.3999999999999
1.218,271.19999999999993,274.3999999999999
1.22,271.19999999999993,274.3999999999999
1.222,271.19999999999993,274.3999999999999
1.224,271.19999999999993,274.3999999999999
1.226,271.19999999999993,274.3999999999999
1.228,271.19999999999993,274.3999999999999
1.23,271.19999999999993,274.3999999999999
1.232,271.19999999999993,274.3999999999999
1.234,271.19999999999993,274.3999999999999
1.236,271.19999999999993,274.3999999999999
1.238,271.19999999999993,274.3999999999999
1.24,271.19999999999993,274.3999999999999
1.242,271.19999999999993,274.3999999999999
1.244,271.19999999999993,274.3999999999999
1.246,271.19999999999993,274.3999999999999
1.248,271.19999999999993,274.3999999999999
1.25,271.19999999999993,274.3999999999999
1.252,271.19999999999993,274.3999999999999
1.254,271.19999999999993,274.3999999999999
1.256,271.19999999999993,274.3999999999999
1.258,271.19999999999993,274.3999999999999
1.26,271.19999999999993,274.3999999999999
1.262,271.19999999999993,274.3999999999999
1.264,271.19999999999993,274.3999999999999
1.266,271.19999999999993,274.3999999999999
1.268,271.19999999999993,274.3999999999999
1.27,271.19999999999993,274.3999999999999
1.272,271.19999999999993,274.3999999999999
1.274,271.19999999999993,274.3999999999999
1.276,271.19999999999993,274.3999999999999
1.278,271.19999999999993,274.3999999999999
1.28,271.19999999999993,274.3999999999999
1.282,271.19999999999993,274.3999999999999
1.284,271.19999999999993,274.3999999999999
1.286,271.19999999999993,274.3999999999999
1.288,271.19999999999993,274.3999999999999
